Datum,E-Mail-Adresse,Vorname (TeilnehmerIn),Nachname (TeilnehmerIn),Mitgliedsnummer,Erreichbarkeit per Telefon,An welchem Training möchtest du regelmäßig teilnehmen,Kurs Id,Alter,Mitteilung,Kündigungsdatum,Status
01.09.2023,familie.mueller@example.de,Lena,Müller,1001,0170-1234561,Parkour Kids am Montag: 16:00 - 17:30 Uhr (6-11 Jahre),11,8,,Bestätigt
01.09.2023,familie.schmidt@example.de,Emma,Schmidt,1002,0170-1234562,Parkour Kids am Montag: 16:00 - 17:30 Uhr (6-11 Jahre),11,9,,Bestätigt
01.09.2023,familie.bauer@example.de,Leon,Bauer,1003,0170-1234563,Parkour Kids am Montag: 16:00 - 17:30 Uhr (6-11 Jahre),11,7,,Bestätigt
01.09.2023,familie.weber@example.de,Anna,Weber,1004,0170-1234564,Parkour Kids am Montag: 16:00 - 17:30 Uhr (6-11 Jahre),11,10,,Bestätigt
01.09.2023,familie.meyer@example.de,Ben,Meyer,1005,0170-1234565,Parkour Kids am Montag: 16:00 - 17:30 Uhr (6-11 Jahre),11,8,,Bestätigt
01.09.2023,familie.fischer@example.de,Sophie,Fischer,1006,0170-1234566,Parkour Teens am Montag: 17:45 - 19:15 Uhr (ab 12 Jahren),12,13,,Bestätigt
01.09.2023,familie.wagner@example.de,Luca,Wagner,1007,0170-1234567,Parkour Teens am Montag: 17:45 - 19:15 Uhr (ab 12 Jahren),12,14,,Bestätigt
01.09.2023,familie.schneider@example.de,Julia,Schneider,1008,0170-1234568,Parkour Teens am Montag: 17:45 - 19:15 Uhr (ab 12 Jahren),12,12,,Bestätigt
01.09.2023,familie.koenig@example.de,Tim,König,1009,0170-1234569,Parkour Teens am Montag: 17:45 - 19:15 Uhr (ab 12 Jahren),12,15,,Bestätigt
01.09.2023,familie.zimmermann@example.de,Marie,Zimmermann,1010,0170-1234570,Parkour Teens am Montag: 17:45 - 19:15 Uhr (ab 12 Jahren),12,13,,Bestätigt
01.09.2023,familie.hoffmann@example.de,Finn,Hoffmann,1011,0170-1234571,Bouldern Kids am Dienstag: 17:00 - 18:30 Uhr (ab 10 Jahre),21,11,,Bestätigt
